SBD,TOAN
02083823,5.0
38012819,4.0
34006288,8.0
08000914,5.25
01015076,8.0
01095162,2.6
58002316,5.35
21025334,2.45
22002287,6.0
54014816,4.85
51001711,6.5
33004109,8.5
28019146,2.25
27001652,3.75
16005669,5.6
29023781,6.75
19000618,9.0
01001573,6.0
64005459,2.6
42014616,5.75
01065685,4.75
01038063,8.0
01067991,7.5
19000666,6.5
41008485,6.6
28028046,6.5
01034628,5.6
02035258,1.95
06002754,4.5
28038971,4.75
03020391,4.5
33004347,5.75
02064621,6.25
49009524,3.85
59007578,3.0
01093178,5.75
21015326,2.25
22011651,4.0
52005387,6.5
29013443,4.0
54011455,4.25
08006438,3.25
49007391,4.25
27004293,9.0
42012538,4.25
18022142,6.0
52004491,4.95
21023932,4.6
19008055,3.6
28034748,3.6
21022716,3.75
25008836,3.5
13006055,3.6
01079633,3.6
25003965,8.5
02032948,6.0
29036980,3.0
03018833,5.25
01112225,6.5
55004849,4.6
24005882,6.25
30014625,5.5
42006252,5.5
55005944,5.5
46008844,6.0
02034230,4.75
17009770,3.95
09004248,3.75
64005601,4.75
01102921,4.75
62001049,4.75
28001056,2.1
28038193,4.35
18008061,3.2
02088519,2.45
38014185,5.35
02089595,4.35
28024562,3.75
02022556,5.6
01066109,4.5
48015783,5.0
57003276,3.25
27001695,2.2
37000450,2.1
50015204,2.0
53003046,4.5
01111596,5.0
06001343,5.5
29010600,1.7
03003436,6.25
01119420,6.0
51005884,4.1
10008256,8.5
25018067,7.5
30006591,3.1
02081005,6.75
53006884,5.5
37017504,6.5
43002113,4.35
31007394,8.0
